,Component,2020 Average,NMC523,NMC622,NMC811,NCA+,LFP
0,Lithium,0.076125,0.08358823529411763,0.07565217391304349,0.06904761904761905,0.08517482517482518,0.07198581560283689
1,Cobalt,0.1015,0.1313529411764706,0.13869565217391305,0.06904761904761905,0.028391608391608394,0.0
2,Nickel,0.3679375,0.3343529411764705,0.4034782608695652,0.5385714285714286,0.6104195804195803,0.0
3,Manganese,0.126875,0.19105882352941175,0.12608695652173912,0.06904761904761905,0.0,0.0
4,Graphite,0.65975,0.6328823529411765,0.6304347826086956,0.6214285714285714,0.6246153846153846,0.9502127659574469
5,Aluminum,0.4440625,0.4179411764705882,0.41608695652173916,0.4142857142857143,0.4258741258741259,0.6334751773049645
6,Copper,0.25375,0.23882352941176474,0.23956521739130435,0.24857142857142858,0.25552447552447555,0.37432624113475177
